,pregunta,opciones,respuesta,argumento,referencia
0,"Ein Unternehmen plant, eine globale Marketinganwendung in der AWS Cloud auszuführen. Die Anwendung wird Videos enthalten, die von Benutzern angesehen werden können. Das Unternehmen muss sicherstellen, dass alle Nutzer diese Videos mit geringer Latenz ansehen können. Welchen AWS-Service sollte das Unternehmen nutzen, um diese Anforderung zu erfüllen?","A. AWS Auto Scaling
B. Amazon Kinesis-Videostreams
C. Elastischer Lastausgleich
D. Amazon CloudFront",D. Amazon CloudFront,"Amazon CloudFront: Die beste Option für das Unternehmen, um sicherzustellen, dass Benutzer Videos mit geringer Latenz ansehen können, wäre die Verwendung von Amazon CloudFront. CloudFront ist ein Content Delivery Network (CDN), das die Bereitstellung statischer und dynamischer Webinhalte wie HTML, CSS, JavaScript und Bilder sowie Videos beschleunigt.",https://aws.amazon.com/cloudfront/
1,"Welche Säule des AWS Well-Architected Framework bezieht sich auf die Fähigkeit eines Systems, sich nach Infrastruktur- oder Serviceunterbrechungen zu erholen und Rechenressourcen dynamisch zu erwerben, um den Bedarf zu decken?","Eine Sicherheit.
B. Zuverlässigkeit.
C. Leistungseffizienz.
D. Kostenoptimierung.",Zuverlässigkeit,"Die Säule „Zuverlässigkeit“ konzentriert sich auf Workloads, die ihre beabsichtigten Funktionen erfüllen, und auf die Frage, wie eine schnelle Wiederherstellung bei Nichterfüllung von Anforderungen möglich ist. Zu den Hauptthemen gehören das Design verteilter Systeme, die Wiederherstellungsplanung und die Anpassung an sich ändernde Anforderungen.",https://aws.amazon.com/architecture/well-architected/
2,"Ein Unternehmen plant, seine physischen Rechenserver vor Ort durch serverlose Rechendienste von AWS zu ersetzen. Das Unternehmen möchte nach der Migration schnell von den Vorteilen fortschrittlicher Technologien profitieren können. Welche Säule des AWS Well-Architected Framework stellt dieser Plan dar?","Eine Sicherheit.
B. Leistungseffizienz.
C. Operative Exzellenz.
D. Zuverlässigkeit.",Leistungsfähigkeit,"Die Säule „Leistungseffizienz“ konzentriert sich auf die effiziente Nutzung von Rechenressourcen zur Erfüllung von Anforderungen und darauf, wie die Effizienz aufrechterhalten werden kann, wenn sich die Nachfrage ändert und sich Technologien weiterentwickeln.",https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,"Ein großes Unternehmen hat mehrere Abteilungen. Jede Abteilung verfügt über ein eigenes AWS-Konto. Jede Abteilung hat Amazon EC2 Reserved Instances erworben. Einige Abteilungen nutzen nicht alle Reserved Instances, die sie gekauft haben, und andere Abteilungen benötigen mehr Reserved Instances, als sie gekauft haben. Das Unternehmen muss die AWS-Konten für alle Abteilungen verwalten, damit die Abteilungen die Reserved Instances gemeinsam nutzen können. Welchen AWS-Service oder welches Tool sollte das Unternehmen nutzen, um diese Anforderungen zu erfüllen?","A. AWS-Systemmanager.
B. Cost Explorer.
C. AWS Trusted Advisor.
D. AWS-Organisationen.",AWS-Organisationen,"Durch den Einsatz von AWS Organizations kann das Unternehmen auch Service Control Policies (SCPs) implementieren, um Ressourcenfreigabe- und Nutzungsrichtlinien im gesamten Unternehmen durchzusetzen. Auf diese Weise können Abteilungen, die über überschüssige Reserved Instances verfügen, diese Abteilungen zuweisen, die zusätzliche Kapazität benötigen.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,Welche der folgenden Vorteile bietet die Migration in die AWS Cloud? (Wähle zwei.),"A. Operative Belastbarkeit.
B. Rabatte für Produkte auf Amazon.com.
C. Geschäftsagilität.
D. Business Excellence.
E. Erhöhte Mitarbeiterbindung","A. Operative Belastbarkeit.
B. Geschäftsagilität","Betriebliche Belastbarkeit: Die AWS Cloud ist auf hohe Verfügbarkeit und Skalierbarkeit ausgelegt, was Unternehmen dabei helfen kann, ihre betriebliche Belastbarkeit zu verbessern und die Auswirkungen von Ausfällen oder Störungen zu reduzieren. Geschäftsflexibilität: Die Migration zur AWS Cloud kann Unternehmen dabei helfen, ihre Geschäftsflexibilität zu erhöhen, indem sie ihnen ermöglicht, schnell und einfach neue Anwendungen und Dienste bereitzustellen, ihre Infrastruktur nach Bedarf zu vergrößern oder zu verkleinern und mit neuen Technologien zu experimentieren.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"Welche Komponente der globalen AWS-Infrastruktur besteht aus einem oder mehreren separaten Rechenzentren, die über redundante Stromversorgung, Netzwerke und Konnektivität verfügen?","A. AWS-Region.
B. Verfügbarkeitszone.
C. Randposition.
D. AWS-Außenposten.",Verfügbarkeitszone,"Eine Availability Zone (AZ) ist ein physisch separates Rechenzentrum innerhalb einer AWS-Region. Jede Availability Zone verfügt über eine eigene Stromquelle, Netzwerkinfrastruktur und Konnektivität. Sie sind so konzipiert, dass sie von Ausfällen in anderen Availability Zones innerhalb derselben Region isoliert sind. Der Zweck von Availability Zones besteht darin, Fehlertoleranz und hohe Verfügbarkeit für Anwendungen und Dienste bereitzustellen, die in der AWS-Cloud gehostet werden. Durch die Bereitstellung von Ressourcen über mehrere Availability Zones hinweg können Unternehmen sicherstellen, dass ihre Systeme auch dann betriebsbereit bleiben, wenn eine einzelne Availability Zone ausfällt.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html
6,"Welche Pflichten liegen in der Verantwortung eines Unternehmens, das AWS Lambda nutzt? (Wähle zwei.)","A. Sicherheit im Code.
B. Auswahl der CPU-Ressourcen.
C. Patchen des Betriebssystems.
D. Schreiben und Aktualisieren von Code.
E. Sicherheit der zugrunde liegenden Infrastruktur.","A. Sicherheit im Code.
D. Schreiben und Aktualisieren von Code","Sicherheit im Code: Es liegt in der Verantwortung des Unternehmens, die Sicherheit des Codes zu gewährleisten, der innerhalb der Lambda-Funktionen ausgeführt wird. Dazu gehört die Implementierung geeigneter Sicherheitsmaßnahmen wie Eingabevalidierung, Verschlüsselung und Zugriffskontrollen, um den Code und die von ihm verarbeiteten Daten zu schützen. Schreiben und Aktualisieren von Code: Das Unternehmen ist für die Entwicklung und Pflege des Codes verantwortlich, der innerhalb der Lambda-Funktionen ausgeführt wird. Dazu gehört das Schreiben des Codes, das Testen und das Vornehmen aller erforderlichen Aktualisierungen oder Änderungen im Laufe der Zeit.",https://aws.amazon.com/lambda/features/
7,Welche AWS-Dienste oder -Funktionen bieten Disaster-Recovery-Lösungen für Amazon EC2-Instanzen? (Wähle zwei.),"A. Reservierte Instanzen.
B. EC2 Amazon Machine Images (AMIs).
C. Amazon Elastic Block Store (Amazon EBS)-Snapshots.
D. AWS Shield.
E. Amazon GuardDuty.","B. EC2 Amazon Machine Images (AMIs).
C. Amazon Elastic Block Store (Amazon EBS)-Snapshots","Snapshots von Amazon Elastic Block Store (Amazon EBS): Amazon EBS ist ein Blockspeicherdienst zur Verwendung mit Amazon EC2-Instances. EBS-Snapshots sind zeitpunktbezogene Kopien eines EBS-Volumes, die zum Erstellen eines neuen Volumes oder zum Wiederherstellen eines vorhandenen Volumes verwendet werden können. EBS-Snapshots können verwendet werden, um Daten im Falle eines Instanzfehlers wiederherzustellen oder um eine neue Instanz in einer anderen Region oder Availability Zone zu erstellen. Amazon Machine Images (AMIs): Ein AMI ist ein vorkonfiguriertes virtuelles Maschinen-Image, das das Betriebssystem, die Anwendungssoftware und alle anderen erforderlichen Komponenten enthält, die zum Starten einer Instanz erforderlich sind. AMIs können verwendet werden, um neue Instanzen in derselben oder einer anderen Region zu erstellen, was für Notfallwiederherstellungszwecke nützlich sein kann.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,"Ein Unternehmen migriert in die AWS Cloud, anstatt seine Infrastruktur vor Ort zu betreiben. Welche der folgenden Vorteile bietet diese Migration? (Wähle zwei.)","A. Eliminierung der Notwendigkeit, Sicherheitsüberprüfungen durchzuführen.
B. Erhöhte globale Reichweite und Agilität, Möglichkeit der globalen Bereitstellung innerhalb von Minuten.
C. Eliminierung der Kosten für IT-Personal.
D. Standardmäßige Redundanz für alle Rechendienste.","Erhöhte globale Reichweite und Agilität, Möglichkeit der globalen Bereitstellung innerhalb von Minuten","Erhöhte globale Reichweite und Agilität: AWS bietet ein globales Netzwerk von Rechenzentren, das es Unternehmen ermöglicht, ihre Anwendungen und Dienste in mehreren Regionen auf der ganzen Welt bereitzustellen. Diese globale Reichweite ermöglicht eine geringere Latenz und eine verbesserte Leistung für Benutzer an verschiedenen geografischen Standorten. Darüber hinaus bietet AWS verschiedene Services und Tools, die die Agilität verbessern und es Unternehmen ermöglichen, ihre Ressourcen je nach Bedarf schnell zu vergrößern oder zu verkleinern sowie schnell Innovationen zu entwickeln und neue Lösungen bereitzustellen. Möglichkeit zur globalen Bereitstellung in wenigen Minuten: Mit der globalen Infrastruktur von AWS können Unternehmen ihre Anwendungen und Dienste schnell in mehreren Regionen auf der ganzen Welt bereitstellen. Dadurch können sie ihre Kunden mit geringer Latenz und hoher Verfügbarkeit an verschiedenen geografischen Standorten bedienen. AWS bietet Automatisierungs- und Verwaltungstools, die eine schnelle und effiziente Bereitstellung in allen Regionen ermöglichen.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"Ein Benutzer vergleicht Kaufoptionen für eine Anwendung, die auf Amazon EC2 und Amazon RDS läuft. Die Anwendung kann keiner Unterbrechung standhalten. Die Anwendung erfährt eine vorhersehbare Auslastung, einschließlich einiger saisonaler Spitzen, die jeweils nur wenige Wochen andauern. Es ist nicht möglich, die Anwendung zu ändern. Welche Kaufoption erfüllt diese Anforderungen am kostengünstigsten?","A. Sehen Sie sich den AWS Marketplace an und kaufen Sie Partial Upfront Reserved Instances, um die vorhergesagte und saisonale Auslastung abzudecken.
B. Kaufen Sie Reserved Instances für die prognostizierte Nutzungsmenge im Laufe des Jahres.
C. Erlauben Sie, dass jede saisonale Nutzung zu einem On-Demand-Tarif ausgeführt wird.
D. Kaufen Sie Reserved Instances, um die gesamte potenzielle Nutzung abzudecken, die sich aus der saisonalen Nutzung ergibt.","Kaufen Sie Reserved Instances für die prognostizierte Nutzungsmenge im Laufe des Jahres. Lassen Sie zu, dass jede saisonale Nutzung mit einem On-Demand-Tarif ausgeführt wird.","Der Kauf reservierter Instanzen für die prognostizierte Nutzungsmenge das ganze Jahr über und die Möglichkeit, jede saisonale Nutzung zu einem On-Demand-Tarif auszuführen, sorgt für ein Gleichgewicht zwischen Kostenoptimierung und der Gewährleistung eines unterbrechungsfreien Dienstes. Durch die Verwendung von Reserved Instances für die vorhersehbare Nutzung und die Nutzung von On-Demand-Instances für saisonale Spitzen kann der Benutzer eine Überbereitstellung vermeiden und dennoch in Spitzenzeiten über die erforderliche Kapazität verfügen. Dieser Ansatz ermöglicht eine kostengünstige Nutzung von Ressourcen und erfüllt gleichzeitig die Anforderung der Anwendung, keine Unterbrechungen zu verursachen.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
