,pregunta,opciones,respuesta,argumento,referencia
0,A company is planning to run a global marketing application in the AWS Cloud. The application will feature videos that can be viewed by users. The company must ensure that all users can view these videos with low latency. Which AWS service should the company use to meet this requirement?,"A. AWS Auto Scaling
B. Amazon Kinesis Video Streams
C. Elastic Load Balancing
D. Amazon CloudFront",D. Amazon CloudFront,"Amazon CloudFront: The best option for the company to ensure that users can view videos with low latency would be to use Amazon CloudFront. CloudFront is a content delivery network (CDN) that speeds up the delivery of static and dynamic web content, such as HTML, CSS, JavaScript, and images, as well as videos.",https://aws.amazon.com/cloudfront/
1,Which pillar of the AWS Well-Architected Framework refers to the ability of a system to recover from infrastructure or service disruptions and dynamically acquire computing resources to meet demand?,"A. Security.
B. Reliability.
C. Performance efficiency. 
D. Cost optimization.",Reliability,"The reliability pillar focuses on workloads performing their intended functions and how to recover quickly from failure to meet demands. Key topics include distributed system design, recovery planning, and adapting to changing requirements.",https://aws.amazon.com/architecture/well-architected/
2,A company is planning to replace its physical on-premises compute servers with AWS serverless compute services. The company wants to be able to take advantage of advanced technologies quickly after the migration. Which pillar of the AWS Well-Architected Framework does this plan represent?,"A. Security.
B. Performance Efficiency.
C. Operational excelence.
D. Reliability.",Performance efficiency,"The performance efficiency pillar focuses on the efficient use of computing resources to meet requirements, and how to maintain efficiency as demand changes and technologies evolve.",https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,"A large company has multiple departments. Each department has its own AWS account. Each department has purchased Amazon EC2 Reserved Instances. Some departments do not use all the Reserved Instances that they purchased, and other departments need more Reserved Instances than they purchased. The company needs to manage the AWS accounts for all the departments so that the departments can share the Reserved Instances. Which AWS service or tool should the company use to meet these requirements?","A. AWS Systems Manager. 
B. Cost Explorer. 
C. AWS Trusted Advisor. 
D. AWS Organizations.",AWS Organizations,"By using AWS Organizations, the company can also implement service control policies (SCPs) to enforce resource sharing and usage policies across the organization. This way, departments that have excess Reserved Instances can allocate them to departments that need additional capacity.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,Which of the following are benefits of migrating to the AWS Cloud? (Choose two.),"A. Operational resilience. 
B. Discounts for products on Amazon.com. 
C. Business agility. 
D. Business excellence. 
E. Increased staff retention","A. Operational resilience. 
B. Business agility","Operational resilience: The AWS Cloud is designed to be highly available and scalable, which can help organizations improve their operational resilience and reduce the impact of failures or disruptions. Business agility: Migrating to the AWS Cloud can help organizations to increase their business agility by allowing them to quickly and easily deploy new applications and services, scale their infrastructure up or down as needed, and experiment with new technologies.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"Which component of the AWS global infrastructure is made up of one or more discrete data centers that have redundant power, networking, and connectivity?","A. AWS Region. 
B. Availability Zone. 
C. Edge location. 
D. AWS Outposts.",Availability Zone,"An Availability Zone (AZ) is a physically separate data center within an AWS Region. Each Availability Zone has its own power source, networking infrastructure, and connectivity. They are designed to be isolated from failures in other Availability Zones within the same Region. The purpose of Availability Zones is to provide fault tolerance and high availability for applications and services hosted in the AWS cloud. By deploying resources across multiple Availability Zones, organizations can ensure that their systems remain operational even if an individual Availability Zone experiences an outage.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html
6,Which duties are the responsibility of a company that is using AWS Lambda? (Choose two.),"A. Security inside of code.
B. Selection of CPU resources.
C. Patching of operating system.
D. Writing and updating of code.
E. Security of underlying infrastructure.","A. Security inside of code. 
D. Writing and updating of code","Security inside of code: It is the company´s responsibility to ensure the security of the code running within the Lambda functions. This includes implementing proper security measures, such as input validation, encryption, and access controls, to protect the code and the data it processes. Writing and updating of code: The company is responsible for developing and maintaining the code that runs within the Lambda functions. This involves writing the code, testing it, and making any necessary updates or modifications over time.",https://aws.amazon.com/lambda/features/
7,Which AWS services or features provide disaster recovery solutions for Amazon EC2 instances? (Choose two.),"A. Reserved Instances.
B. EC2 Amazon Machine Images (AMIs).
C. Amazon Elastic Block Store (Amazon EBS) snapshots.
D. AWS Shield.
E. Amazon GuardDuty.","B. EC2 Amazon Machine Images (AMIs).
C. Amazon Elastic Block Store (Amazon EBS) snapshots","Amazon Elastic Block Store (Amazon EBS) snapshots: Amazon EBS is a block storage service for use with Amazon EC2 instances. EBS snapshots are point-in-time copies of an EBS volume that can be used to create a new volume or restore an existing volume. EBS snapshots can be used to recover data in the event of an instance failure, or to create a new instance in a different region or Availability Zone. Amazon Machine Images (AMIs): An AMI is a pre-configured virtual machine image that contains the operating system, application software, and any other required components needed to launch an instance. AMIs can be used to create new instances in the same or a different region, which can be useful for disaster recovery purposes.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,A company is migrating to the AWS Cloud instead of running its infrastructure on premises. Which of the following are advantages of this migration? (Choose two.),"A. Elimination of the need to perform security auditing.
B. Increased global reach and agility, Ability to deploy globally in minutes.
C. Elimination of the cost of IT staff members.
D. Redundancy by default for all compute services.","Increased global reach and agility, Ability to deploy globally in minutes","Increased global reach and agility: AWS offers a global network of data centers, enabling businesses to deploy their applications and services in multiple regions around the world. This global reach allows for reduced latency and improved performance for users in different geographical locations. Additionally, AWS provides various services and tools that enhance agility, enabling businesses to quickly scale their resources up or down as needed, and rapidly innovate and deploy new solutions. Ability to deploy globally in minutes: With AWS´s global infrastructure, businesses can quickly deploy their applications and services to multiple regions around the world. This allows them to serve their customers with low latency and high availability in various geographic locations. AWS provides automation and management tools that facilitate fast and efficient deployment across regions.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"A user is comparing purchase options for an application that runs on Amazon EC2 and Amazon RDS. The application cannot sustain any interruption. The application experiences a predictable amount of usage, including some seasonal spikes that last only a few weeks at a time. It is not possible to modify the application. Which purchase option meets these requirements MOST cost-effectively?","A. Review the AWS Marketplace and buy Partial Upfront Reserved Instances to cover the predicted and seasonal load. 
B. Buy Reserved Instances for the predicted amount of usage throughout the year.  
C. Allow any seasonal usage to run at an On-Demand rate.
D. Buy Reserved Instances to cover all potential usage that results from the seasonal usage.",Buy Reserved Instances for the predicted amount of usage throughout the year.,"buying Reserved Instances for the predicted amount of usage throughout the year and allowing any seasonal usage to run at an On-Demand rate, provides a balance between cost optimization and ensuring uninterrupted service. By using Reserved Instances for the predictable usage and leveraging On-Demand instances for seasonal spikes, the user can avoid overprovisioning while still having the required capacity during peak periods. This approach allows for cost-effective utilization of resources while meeting the application´s requirement of no interruptions.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
