Unnamed: 0,pregunta,opciones,respuesta,argumento,referencia
0,Una empresa planea ejecutar una aplicación de marketing global en la nube de AWS. La aplicación incluirá vídeos que podrán ser vistos por los usuarios. La empresa debe garantizar que todos los usuarios puedan ver estos vídeos con baja latencia. ¿Qué servicio de AWS debería utilizar la empresa para cumplir con este requisito?,"A. Escala automática de AWS.
B. Transmisiones de vídeo de Amazon Kinesis.
C. Equilibrio de carga elástico.
D. Amazon CloudFront.",D. Amazon CloudFront.,"Amazon CloudFront: la mejor opción para que la empresa se asegure de que los usuarios puedan ver videos con baja latencia sería utilizar Amazon CloudFront. CloudFront es una red de entrega de contenido (CDN) que acelera la entrega de contenido web estático y dinámico, como HTML, CSS, JavaScript e imágenes, así como videos.",https://aws.amazon.com/cloudfront/
1,¿Qué pilar del marco de buena arquitectura de AWS se refiere a la capacidad de un sistema para recuperarse de interrupciones en la infraestructura o el servicio y adquirir dinámicamente recursos informáticos para satisfacer la demanda?,"A. Una garantia.
B. Confiabilidad.
C. Eficiencia en el desempeño.
D. Optimización de costos.",B. Confiabilidad,"El pilar de confiabilidad se centra en las cargas de trabajo que realizan las funciones previstas y en cómo recuperarse rápidamente en caso de que no se cumplan las demandas. Los temas clave incluyen el diseño de sistemas distribuidos, la planificación de la recuperación y la adaptación a los requisitos cambiantes.",https://aws.amazon.com/architecture/well-architected/
2,Una empresa planea reemplazar sus servidores informáticos físicos locales con servicios informáticos sin servidor de AWS. La empresa quiere poder aprovechar las tecnologías avanzadas rápidamente después de la migración. ¿Qué pilar del marco de buena arquitectura de AWS representa este plan?,"A. Una garantia.
B. Eficiencia del desempeño.
C. Excelencia operativa.
D. Confiabilidad.",B. Eficiencia del desempeño.,El pilar de eficiencia del rendimiento se centra en el uso eficiente de los recursos informáticos para cumplir con los requisitos y en cómo mantener la eficiencia a medida que la demanda cambia y las tecnologías evolucionan.,https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,Una gran empresa tiene varios departamentos. Cada departamento tiene su propia cuenta de AWS. Cada departamento ha adquirido instancias reservadas de Amazon EC2. Algunos departamentos no utilizan todas las Instancias reservadas que compraron y otros departamentos necesitan más Instancias reservadas de las que compraron. La empresa necesita administrar las cuentas de AWS de todos los departamentos para que los departamentos puedan compartir las instancias reservadas. ¿Qué servicio o herramienta de AWS debería utilizar la empresa para cumplir con estos requisitos?,"A. Gerente de sistemas AWS.
B. Cost Explorer.
C. AWS Trusted Advisor.
D. Organizaciones AWS.",D. Organizaciones AWS.,"Al utilizar AWS Organizations, la empresa también puede implementar políticas de control de servicios (SCP) para hacer cumplir las políticas de uso e intercambio de recursos en toda la organización. De esta manera, los departamentos que tienen un exceso de Instancias Reservadas pueden asignarlas a departamentos que necesiten capacidad adicional.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,¿Cuáles de los siguientes son beneficios de migrar a la nube de AWS? (Escoge dos.),"A. Resiliencia operativa.
B. Descuentos para productos en Amazon. com.
C. Agilidad empresarial.
D. Excelencia empresarial.
E. Mayor retención del personal.","A. Resiliencia operativa.
B. Agilidad empresarial.","Resiliencia operativa: la nube de AWS está diseñada para ser altamente disponible y escalable, lo que puede ayudar a las organizaciones a mejorar su resiliencia operativa y reducir el impacto de fallas o interrupciones. Agilidad empresarial: la migración a la nube de AWS puede ayudar a las organizaciones a aumentar su agilidad empresarial al permitirles implementar rápida y fácilmente nuevas aplicaciones y servicios, ampliar o reducir su infraestructura según sea necesario y experimentar con nuevas tecnologías.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"¿Qué componente de la infraestructura global de AWS se compone de uno o más centros de datos discretos que tienen energía, redes y conectividad redundantes?","A. Región de AWS.
B. Zona de disponibilidad.
C. Ubicación del borde.
D. Puestos de avanzada de AWS.",B. Zona de disponibilidad.,"Una zona de disponibilidad (AZ) es un centro de datos físicamente separado dentro de una región de AWS. Cada zona de disponibilidad tiene su propia fuente de energía, infraestructura de red y conectividad. Están diseñados para aislarse de fallas en otras zonas de disponibilidad dentro de la misma región. El propósito de las zonas de disponibilidad es proporcionar tolerancia a fallas y alta disponibilidad para aplicaciones y servicios alojados en la nube de AWS. Al implementar recursos en múltiples zonas de disponibilidad, las organizaciones pueden garantizar que sus sistemas permanezcan operativos incluso si una zona de disponibilidad individual experimenta una interrupción.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html
6,¿Qué tareas son responsabilidad de una empresa que utiliza AWS Lambda? (Escoge dos.),"A. Seguridad dentro del código.
B. Selección de recursos de CPU.
C. Parcheo del sistema operativo.
D. Redacción y actualización de código.
E. Seguridad de la infraestructura subyacente.","A. Seguridad dentro del código.
D. Escritura y actualización de código.","Seguridad dentro del código: Es responsabilidad de la empresa garantizar la seguridad del código que se ejecuta dentro de las funciones Lambda. Esto incluye implementar medidas de seguridad adecuadas, como validación de entradas, cifrado y controles de acceso, para proteger el código y los datos que procesa. Escritura y actualización de código: La empresa es responsable de desarrollar y mantener el código que se ejecuta dentro de las funciones Lambda. Esto implica escribir el código, probarlo y realizar las actualizaciones o modificaciones necesarias a lo largo del tiempo.",https://aws.amazon.com/lambda/features/
7,¿Qué servicios o características de AWS brindan soluciones de recuperación ante desastres para instancias de Amazon EC2? (Escoge dos.),"A. Instancias reservadas.
B. Imágenes de máquina de Amazon (AMI) de EC2.
C. Instantáneas de Amazon Elastic Block Store (Amazon EBS).
D. AWS Shield.
E. Amazon GuardDuty.","B. Imágenes de máquina de Amazon (AMI) de EC2.
C. Instantáneas de Amazon Elastic Block Store (Amazon EBS).","Instantáneas de Amazon Elastic Block Store (Amazon EBS): Amazon EBS es un servicio de almacenamiento en bloque para usar con instancias de Amazon EC2. Las instantáneas de EBS son copias de un momento dado de un volumen de EBS que se pueden usar para crear un volumen nuevo o restaurar un volumen existente. Las instantáneas de EBS se pueden utilizar para recuperar datos en caso de que falle una instancia o para crear una nueva instancia en una región o zona de disponibilidad diferente. Imágenes de máquina de Amazon (AMI): una AMI es una imagen de máquina virtual preconfigurada que contiene el sistema operativo, el software de la aplicación y cualquier otro componente necesario para lanzar una instancia. Las AMI se pueden utilizar para crear nuevas instancias en la misma región o en otra diferente, lo que puede resultar útil para fines de recuperación ante desastres.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,Una empresa está migrando a la nube de AWS en lugar de ejecutar su infraestructura localmente. ¿Cuáles de las siguientes son ventajas de esta migración? (Escoge dos.),"A. Eliminación de la necesidad de realizar auditorías de seguridad.
B. Mayor alcance y agilidad global. Capacidad de implementación global en minutos.
C. Eliminación del costo del personal de TI.
D. Redundancia por defecto para todos los servicios informáticos.",B. Mayor alcance y agilidad global. Capacidad de implementación global en minutos.,"Mayor alcance global y agilidad: AWS ofrece una red global de centros de datos, lo que permite a las empresas implementar sus aplicaciones y servicios en múltiples regiones del mundo. Este alcance global permite una latencia reducida y un rendimiento mejorado para los usuarios en diferentes ubicaciones geográficas. Además, AWS proporciona diversos servicios y herramientas que mejoran la agilidad, lo que permite a las empresas aumentar o reducir rápidamente sus recursos según sea necesario, e innovar e implementar rápidamente nuevas soluciones. Capacidad de implementación global en minutos: con la infraestructura global de AWS, las empresas pueden implementar rápidamente sus aplicaciones y servicios en múltiples regiones del mundo. Esto les permite atender a sus clientes con baja latencia y alta disponibilidad en diversas ubicaciones geográficas. AWS proporciona herramientas de automatización y administración que facilitan una implementación rápida y eficiente en todas las regiones.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"Un usuario compara opciones de compra para una aplicación que se ejecuta en Amazon EC2 y Amazon RDS. La aplicación no puede sufrir ninguna interrupción. La aplicación experimenta una cantidad de uso predecible, incluidos algunos picos estacionales que duran sólo unas pocas semanas a la vez. No es posible modificar la aplicación. ¿Qué opción de compra cumple con estos requisitos de manera MÁS rentable?","A. Revise AWS Marketplace y compre instancias reservadas con pago inicial parcial para cubrir la carga estacional y prevista.
B. Comprar instancias reservadas para la cantidad de uso prevista durante todo el año.
C. Permitir que cualquier uso estacional se ejecute a una tarifa según demanda.
D. Comprar Instancias reservadas para cubrir todo el uso potencial que resulte del uso estacional.",B. Comprar instancias reservadas para la cantidad de uso prevista durante todo el año.,"comprar Instancias reservadas para la cantidad de uso prevista durante todo el año y permitir que cualquier uso estacional se ejecute a una tarifa bajo demanda proporciona un equilibrio entre la optimización de costos y garantizar un servicio ininterrumpido. Al utilizar instancias reservadas para un uso predecible y aprovechar instancias bajo demanda para picos estacionales, el usuario puede evitar el aprovisionamiento excesivo y al mismo tiempo tener la capacidad requerida durante los períodos pico. Este enfoque permite una utilización rentable de los recursos y al mismo tiempo cumple con el requisito de no interrupciones de la aplicación.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
