,pregunta,opciones,respuesta,argumento,referencia
0,Une entreprise envisage d'exécuter une application marketing mondiale dans le cloud AWS. L'application proposera des vidéos pouvant être visionnées par les utilisateurs. L'entreprise doit garantir que tous les utilisateurs peuvent visionner ces vidéos avec une faible latence. Quel service AWS l'entreprise doit-elle utiliser pour répondre à cette exigence ?,"A. Mise à l'échelle automatique AWS
B. Flux vidéo Amazon Kinesis
C. Équilibrage de charge élastique
D.Amazon CloudFront",D. Amazon CloudFront,"Amazon CloudFront : La meilleure option pour l'entreprise afin de garantir que les utilisateurs puissent visionner des vidéos avec une faible latence serait d'utiliser Amazon CloudFront. CloudFront est un réseau de diffusion de contenu (CDN) qui accélère la diffusion de contenu Web statique et dynamique, tel que HTML, CSS, JavaScript et images, ainsi que des vidéos.",https://aws.amazon.com/cloudfront/
1,Quel pilier du cadre AWS Well-Architected fait référence à la capacité d'un système à se remettre d'une interruption de l'infrastructure ou du service et à acquérir de manière dynamique des ressources informatiques pour répondre à la demande ?,"Une sécurité.
B. Fiabilité.
C. Efficacité des performances.
D. Optimisation des coûts.",Fiabilité,"Le pilier de la fiabilité se concentre sur les charges de travail remplissant les fonctions prévues et sur la manière de se remettre rapidement d'un échec pour répondre aux demandes. Les sujets clés incluent la conception de systèmes distribués, la planification de la récupération et l'adaptation aux exigences changeantes.",https://aws.amazon.com/architecture/well-architected/
2,Une entreprise envisage de remplacer ses serveurs de calcul physiques sur site par des services de calcul sans serveur AWS. L'entreprise souhaite pouvoir profiter des technologies avancées rapidement après la migration. Quel pilier du cadre AWS Well-Architected ce plan représente-t-il ?,"Une sécurité.
B. Efficacité des performances.
C. Excellence opérationnelle.
D. Fiabilité.",Efficacité des performances,Le pilier de l'efficacité des performances se concentre sur l'utilisation efficace des ressources informatiques pour répondre aux exigences et sur la manière de maintenir l'efficacité à mesure que la demande change et que les technologies évoluent.,https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,"Une grande entreprise compte plusieurs départements. Chaque département possède son propre compte AWS. Chaque service a acheté des instances réservées Amazon EC2. Certains services n'utilisent pas toutes les instances réservées qu'ils ont achetées, et d'autres services ont besoin de plus d'instances réservées que ce qu'ils ont acheté. L'entreprise doit gérer les comptes AWS de tous les départements afin que ceux-ci puissent partager les instances réservées. Quel service ou outil AWS l'entreprise doit-elle utiliser pour répondre à ces exigences ?","A. Gestionnaire de systèmes AWS.
B. Explorateur de coûts.
C. Conseiller de confiance AWS.
D. Organisations AWS.",Organisations AWS,"En utilisant AWS Organizations, l'entreprise peut également mettre en œuvre des politiques de contrôle des services (SCP) pour appliquer des politiques de partage et d'utilisation des ressources dans l'ensemble de l'organisation. De cette façon, les services qui disposent d’instances réservées excédentaires peuvent les allouer aux services qui ont besoin de capacité supplémentaire.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,"Parmi les avantages suivants, lesquels sont liés à la migration vers le cloud AWS ? (Choisissez deux.)","A. Résilience opérationnelle.
B. Remises sur les produits sur Amazon.com.
C. Agilité commerciale.
D. Excellence commerciale.
E. Fidélisation accrue du personnel","A. Résilience opérationnelle.
B. Agilité commerciale","Résilience opérationnelle : le cloud AWS est conçu pour être hautement disponible et évolutif, ce qui peut aider les organisations à améliorer leur résilience opérationnelle et à réduire l'impact des pannes ou des perturbations. Agilité commerciale : la migration vers le cloud AWS peut aider les organisations à accroître leur agilité commerciale en leur permettant de déployer rapidement et facilement de nouvelles applications et services, d'augmenter ou de réduire leur infrastructure selon leurs besoins et d'expérimenter de nouvelles technologies.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"Quel composant de l'infrastructure mondiale AWS est constitué d'un ou plusieurs centres de données discrets dotés d'une alimentation, d'un réseau et d'une connectivité redondants ?","A. Région AWS.
B. Zone de disponibilité.
C. Emplacement en bordure.
D. Avant-postes AWS.",Zone de disponibilité,"Une zone de disponibilité (AZ) est un centre de données physiquement distinct au sein d'une région AWS. Chaque zone de disponibilité possède sa propre source d'alimentation, sa propre infrastructure réseau et sa propre connectivité. Ils sont conçus pour être isolés des pannes dans d’autres zones de disponibilité au sein de la même région. L'objectif des zones de disponibilité est de fournir une tolérance aux pannes et une haute disponibilité pour les applications et les services hébergés dans le cloud AWS. En déployant des ressources sur plusieurs zones de disponibilité, les organisations peuvent garantir que leurs systèmes restent opérationnels même si une zone de disponibilité individuelle subit une panne.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html
6,Quelles tâches incombent à une entreprise qui utilise AWS Lambda ? (Choisissez deux.),"A. Sécurité à l’intérieur du code.
B. Sélection des ressources CPU.
C. Correction du système d'exploitation.
D. Rédaction et mise à jour du code.
E. Sécurité de l'infrastructure sous-jacente.","A. Sécurité à l’intérieur du code.
D. Rédaction et mise à jour du code","Sécurité à l'intérieur du code : il est de la responsabilité de l'entreprise d'assurer la sécurité du code exécuté dans les fonctions Lambda. Cela inclut la mise en œuvre de mesures de sécurité appropriées, telles que la validation des entrées, le cryptage et les contrôles d'accès, pour protéger le code et les données qu'il traite. Rédaction et mise à jour du code : L'entreprise est responsable du développement et de la maintenance du code qui s'exécute au sein des fonctions Lambda. Cela implique d'écrire le code, de le tester et d'effectuer toutes les mises à jour ou modifications nécessaires au fil du temps.",https://aws.amazon.com/lambda/features/
7,Quels services ou fonctionnalités AWS fournissent des solutions de reprise après sinistre pour les instances Amazon EC2 ? (Choisissez deux.),"A. Instances réservées.
B. Images de machines Amazon (AMI) EC2.
C. Instantanés Amazon Elastic Block Store (Amazon EBS).
D. Bouclier AWS.
E. Amazon GuardDuty.","B. Images de machines Amazon (AMI) EC2.
C. Instantanés Amazon Elastic Block Store (Amazon EBS)","Instantanés Amazon Elastic Block Store (Amazon EBS) : Amazon EBS est un service de stockage par blocs à utiliser avec les instances Amazon EC2. Les instantanés EBS sont des copies ponctuelles d'un volume EBS qui peuvent être utilisées pour créer un nouveau volume ou restaurer un volume existant. Les instantanés EBS peuvent être utilisés pour récupérer des données en cas de panne d'une instance ou pour créer une nouvelle instance dans une région ou une zone de disponibilité différente. Amazon Machine Images (AMI) : une AMI est une image de machine virtuelle préconfigurée qui contient le système d'exploitation, le logiciel d'application et tout autre composant requis pour lancer une instance. Les AMI peuvent être utilisées pour créer de nouvelles instances dans la même région ou dans une région différente, ce qui peut être utile à des fins de reprise après sinistre.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,"Une entreprise migre vers le cloud AWS au lieu d'exécuter son infrastructure sur site. Parmi les avantages suivants, lesquels sont les avantages de cette migration ? (Choisissez deux.)","A. Élimination de la nécessité d’effectuer un audit de sécurité.
B. Portée mondiale et agilité accrues, capacité à se déployer à l'échelle mondiale en quelques minutes.
C. Élimination des coûts liés au personnel informatique.
D. Redondance par défaut pour tous les services de calcul.","Portée mondiale et agilité accrues, capacité à déployer à l'échelle mondiale en quelques minutes","Portée mondiale et agilité accrues : AWS propose un réseau mondial de centres de données, permettant aux entreprises de déployer leurs applications et services dans plusieurs régions du monde. Cette portée mondiale permet de réduire la latence et d'améliorer les performances pour les utilisateurs situés dans différentes zones géographiques. De plus, AWS fournit divers services et outils qui améliorent l'agilité, permettant aux entreprises d'augmenter ou de réduire rapidement leurs ressources selon leurs besoins, ainsi que d'innover et de déployer rapidement de nouvelles solutions. Possibilité de déploiement mondial en quelques minutes : grâce à l'infrastructure mondiale d'AWS, les entreprises peuvent déployer rapidement leurs applications et services dans plusieurs régions du monde. Cela leur permet de servir leurs clients avec une faible latence et une haute disponibilité dans diverses zones géographiques. AWS fournit des outils d'automatisation et de gestion qui facilitent un déploiement rapide et efficace dans les régions.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"Un utilisateur compare les options d'achat d'une application qui s'exécute sur Amazon EC2 et Amazon RDS. L'application ne peut supporter aucune interruption. L'application connaît un niveau d'utilisation prévisible, y compris des pics saisonniers qui ne durent que quelques semaines à la fois. Il n'est pas possible de modifier l'application. Quelle option d’achat répond à ces exigences de la manière la plus rentable ?","A. Consultez AWS Marketplace et achetez des instances réservées partielles initiales pour couvrir la charge prévue et saisonnière.
B. Achetez des instances réservées pour la quantité d'utilisation prévue tout au long de l'année.
C. Autoriser toute utilisation saisonnière à un tarif à la demande.
D. Achetez des instances réservées pour couvrir toute l'utilisation potentielle résultant de l'utilisation saisonnière.",Achetez des instances réservées pour la quantité d'utilisation prévue tout au long de l'année. Autorisez toute utilisation saisonnière à fonctionner à un tarif à la demande.,"l'achat d'instances réservées pour la quantité d'utilisation prévue tout au long de l'année et permettant à toute utilisation saisonnière de s'exécuter à un tarif à la demande, offre un équilibre entre l'optimisation des coûts et la garantie d'un service ininterrompu. En utilisant des instances réservées pour une utilisation prévisible et en exploitant les instances à la demande pour les pics saisonniers, l'utilisateur peut éviter le surprovisionnement tout en disposant de la capacité requise pendant les périodes de pointe. Cette approche permet une utilisation rentable des ressources tout en répondant aux exigences d'absence d'interruption de l'application.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
