,pregunta,opciones,respuesta,argumento,referencia
0,Un'azienda sta pianificando di eseguire un'applicazione di marketing globale nel cloud AWS. L'applicazione conterrà video che possono essere visualizzati dagli utenti. L’azienda deve garantire che tutti gli utenti possano visualizzare questi video con bassa latenza. Quale servizio AWS dovrebbe utilizzare l'azienda per soddisfare questo requisito?,"A. AWS Auto Scaling
B. Amazon Kinesis Video Streams
C. Bilanciamento del carico elastico
D.Amazon CloudFront",D.Amazon CloudFront,"Amazon CloudFront: l'opzione migliore per l'azienda per garantire che gli utenti possano visualizzare video con bassa latenza sarebbe utilizzare Amazon CloudFront. CloudFront è una rete per la distribuzione di contenuti (CDN) che accelera la distribuzione di contenuti Web statici e dinamici, come HTML, CSS, JavaScript e immagini, nonché video.",https://aws.amazon.com/cloudfront/
1,Quale pilastro del Canone di architettura AWS si riferisce alla capacità di un sistema di riprendersi da interruzioni dell'infrastruttura o del servizio e di acquisire dinamicamente risorse di elaborazione per soddisfare la domanda?,"R. Sicurezza.
B. Affidabilità.
C. Efficienza delle prestazioni.
D. Ottimizzazione dei costi.",Affidabilità,"Il pilastro dell'affidabilità si concentra sui carichi di lavoro che eseguono le funzioni previste e su come riprendersi rapidamente dal mancato rispetto delle richieste. Gli argomenti chiave includono la progettazione del sistema distribuito, la pianificazione del ripristino e l'adattamento ai requisiti in evoluzione.",https://aws.amazon.com/architecture/well-architected/
2,Un'azienda sta pianificando di sostituire i propri server di elaborazione fisici locali con servizi di elaborazione serverless AWS. L'azienda desidera poter sfruttare rapidamente le tecnologie avanzate dopo la migrazione. Quale pilastro del Canone di architettura AWS rappresenta questo piano?,"R. Sicurezza.
B. Efficienza delle prestazioni.
C. Eccellenza operativa.
D. Affidabilità.",Efficienza delle prestazioni,Il pilastro dell’efficienza delle prestazioni si concentra sull’uso efficiente delle risorse informatiche per soddisfare i requisiti e su come mantenere l’efficienza man mano che la domanda cambia e le tecnologie si evolvono.,https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,Una grande azienda ha più reparti. Ogni dipartimento ha il proprio account AWS. Ogni dipartimento ha acquistato istanze riservate di Amazon EC2. Alcuni dipartimenti non utilizzano tutte le Istanze riservate acquistate e altri dipartimenti necessitano di più Istanze riservate di quelle acquistate. L'azienda deve gestire gli account AWS per tutti i dipartimenti in modo che i dipartimenti possano condividere le istanze riservate. Quale servizio o strumento AWS dovrebbe utilizzare l'azienda per soddisfare questi requisiti?,"A. Responsabile dei sistemi AWS.
B. Esplora costi.
C. Consulente affidabile di AWS.
D. Organizzazioni AWS.",Organizzazioni AWS,"Utilizzando AWS Organizations, l'azienda può anche implementare policy di controllo dei servizi (SCP) per applicare policy di condivisione e utilizzo delle risorse all'interno dell'organizzazione. In questo modo, i dipartimenti che dispongono di istanze riservate in eccesso possono allocarle ai dipartimenti che necessitano di capacità aggiuntiva.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,Quali dei seguenti sono vantaggi derivanti dalla migrazione al cloud AWS? (Scegline due.),"A. Resilienza operativa.
B. Sconti per prodotti su Amazon.com.
C. Agilità aziendale.
D. Eccellenza aziendale.
E. Maggiore fidelizzazione del personale","A. Resilienza operativa.
B. Agilità aziendale","Resilienza operativa: il cloud AWS è progettato per essere altamente disponibile e scalabile, il che può aiutare le organizzazioni a migliorare la propria resilienza operativa e ridurre l'impatto di guasti o interruzioni. Agilità aziendale: la migrazione al cloud AWS può aiutare le organizzazioni ad aumentare la propria agilità aziendale consentendo loro di distribuire rapidamente e facilmente nuove applicazioni e servizi, aumentare o ridurre la propria infrastruttura in base alle esigenze e sperimentare nuove tecnologie.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"Quale componente dell'infrastruttura globale AWS è costituito da uno o più data center distinti dotati di alimentazione, rete e connettività ridondanti?","A. Regione AWS.
B. Zona di disponibilità.
C. Posizione periferica.
D. Avamposti AWS.",Zona di disponibilità,"Una zona di disponibilità (AZ) è un data center fisicamente separato all'interno di una regione AWS. Ciascuna zona di disponibilità dispone della propria fonte di alimentazione, infrastruttura di rete e connettività. Sono progettati per essere isolati dai guasti in altre zone di disponibilità all'interno della stessa regione. Lo scopo delle zone di disponibilità è fornire tolleranza agli errori e disponibilità elevata per applicazioni e servizi ospitati nel cloud AWS. Distribuendo le risorse su più zone di disponibilità, le organizzazioni possono garantire che i propri sistemi rimangano operativi anche se una singola zona di disponibilità subisce un'interruzione.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html
6,Quali compiti sono di responsabilità di un'azienda che utilizza AWS Lambda? (Scegline due.),"A. Sicurezza all'interno del codice.
B. Selezione delle risorse della CPU.
C. Patch del sistema operativo.
D. Scrittura e aggiornamento del codice.
E. Sicurezza delle infrastrutture sottostanti.","A. Sicurezza all'interno del codice.
D. Scrittura e aggiornamento del codice","Sicurezza all'interno del codice: è responsabilità dell'azienda garantire la sicurezza del codice in esecuzione nelle funzioni Lambda. Ciò include l’implementazione di misure di sicurezza adeguate, come la convalida dell’input, la crittografia e i controlli di accesso, per proteggere il codice e i dati elaborati. Scrittura e aggiornamento del codice: l'azienda è responsabile dello sviluppo e della manutenzione del codice eseguito all'interno delle funzioni Lambda. Ciò implica scrivere il codice, testarlo e apportare eventuali aggiornamenti o modifiche necessarie nel tempo.",https://aws.amazon.com/lambda/features/
7,Quali servizi o funzionalità AWS forniscono soluzioni di ripristino di emergenza per le istanze Amazon EC2? (Scegline due.),"A. Istanze riservate.
B. Amazon Machine Images (AMI) EC2.
C. Snapshot di Amazon Elastic Block Store (Amazon EBS).
D. Scudo AWS.
E. Amazon GuardDuty.","B. Amazon Machine Images (AMI) EC2.
C. Snapshot di Amazon Elastic Block Store (Amazon EBS).","Snapshot di Amazon Elastic Block Store (Amazon EBS): Amazon EBS è un servizio di storage a blocchi da utilizzare con le istanze Amazon EC2. Gli snapshot EBS sono copie point-in-time di un volume EBS che possono essere utilizzate per creare un nuovo volume o ripristinare un volume esistente. Gli snapshot EBS possono essere utilizzati per ripristinare i dati in caso di guasto di un'istanza o per creare una nuova istanza in una regione o zona di disponibilità diversa. Amazon Machine Images (AMI): un'AMI è un'immagine di macchina virtuale preconfigurata che contiene il sistema operativo, il software applicativo e qualsiasi altro componente necessario per avviare un'istanza. Le AMI possono essere utilizzate per creare nuove istanze nella stessa regione o in una regione diversa, il che può essere utile a fini di ripristino di emergenza.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,Un'azienda sta migrando al cloud AWS invece di gestire la propria infrastruttura in locale. Quali dei seguenti sono vantaggi di questa migrazione? (Scegline due.),"A. Eliminazione della necessità di eseguire controlli di sicurezza.
B. Maggiore portata e agilità globali, capacità di implementazione globale in pochi minuti.
C. Eliminazione del costo del personale IT.
D. Ridondanza per impostazione predefinita per tutti i servizi di elaborazione.","Maggiore portata globale e agilità, possibilità di implementazione a livello globale in pochi minuti","Maggiore portata globale e agilità: AWS offre una rete globale di data center, consentendo alle aziende di distribuire le proprie applicazioni e servizi in più regioni del mondo. Questa portata globale consente una latenza ridotta e prestazioni migliorate per gli utenti in diverse posizioni geografiche. Inoltre, AWS fornisce vari servizi e strumenti che migliorano l'agilità, consentendo alle aziende di aumentare o ridurre rapidamente le proprie risorse in base alle esigenze, nonché di innovare e distribuire rapidamente nuove soluzioni. Possibilità di distribuzione globale in pochi minuti: con l'infrastruttura globale di AWS, le aziende possono distribuire rapidamente le proprie applicazioni e servizi in più regioni in tutto il mondo. Ciò consente loro di servire i propri clienti con bassa latenza e alta disponibilità in varie località geografiche. AWS fornisce strumenti di automazione e gestione che facilitano una distribuzione rapida ed efficiente in tutte le regioni.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"Un utente sta confrontando le opzioni di acquisto per un'applicazione eseguita su Amazon EC2 e Amazon RDS. L'applicazione non può sostenere alcuna interruzione. L'applicazione presenta un utilizzo prevedibile, inclusi alcuni picchi stagionali che durano solo poche settimane alla volta. Non è possibile modificare l'applicazione. Quale opzione di acquisto soddisfa questi requisiti nel modo PIÙ conveniente?","R. Esamina il Marketplace AWS e acquista istanze riservate con anticipo parziale per coprire il carico previsto e stagionale.
B. Acquistare istanze riservate per la quantità di utilizzo prevista durante tutto l'anno.
C. Consentire l'esecuzione di qualsiasi utilizzo stagionale a una tariffa on-demand.
D. Acquistare istanze riservate per coprire tutto il potenziale utilizzo derivante dall'utilizzo stagionale.",Acquista istanze riservate per la quantità di utilizzo prevista durante tutto l'anno. Consenti l'esecuzione di qualsiasi utilizzo stagionale a una tariffa on-demand.,"l'acquisto di istanze riservate per la quantità di utilizzo prevista durante tutto l'anno e la possibilità di eseguire qualsiasi utilizzo stagionale a una tariffa on demand fornisce un equilibrio tra l'ottimizzazione dei costi e la garanzia di un servizio ininterrotto. Utilizzando le istanze riservate per un utilizzo prevedibile e sfruttando le istanze on demand per i picchi stagionali, l'utente può evitare il provisioning eccessivo pur mantenendo la capacità richiesta durante i periodi di punta. Questo approccio consente un utilizzo economicamente vantaggioso delle risorse soddisfacendo al tempo stesso i requisiti dell'applicazione senza interruzioni.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
