,pregunta,opciones,respuesta,argumento,referencia
0,Uma empresa está planejando executar um aplicativo de marketing global na Nuvem AWS. O aplicativo contará com vídeos que poderão ser visualizados pelos usuários. A empresa deve garantir que todos os usuários possam visualizar esses vídeos com baixa latência. Qual serviço AWS a empresa deve usar para atender a esse requisito?,"A. AWS Auto Scaling
B. Streams de vídeo do Amazon Kinesis
C. Balanceamento de carga elástico
D. Amazon CloudFront",D. Amazon CloudFront,"Amazon CloudFront: A melhor opção para a empresa garantir que os usuários possam visualizar vídeos com baixa latência seria usar o Amazon CloudFront. CloudFront é uma rede de distribuição de conteúdo (CDN) que acelera a entrega de conteúdo da Web estático e dinâmico, como HTML, CSS, JavaScript e imagens, além de vídeos.",https://aws.amazon.com/cloudfront/
1,Qual pilar do AWS Well-Architected Framework se refere à capacidade de um sistema se recuperar de interrupções de infraestrutura ou serviço e adquirir recursos de computação dinamicamente para atender à demanda?,"Uma segurança.
B. Confiabilidade.
C. Eficiência de desempenho.
D. Otimização de custos.",Confiabilidade,"O pilar de confiabilidade concentra-se nas cargas de trabalho que executam as funções pretendidas e em como se recuperar rapidamente de falhas no atendimento às demandas. Os principais tópicos incluem design de sistema distribuído, planejamento de recuperação e adaptação às mudanças de requisitos.",https://aws.amazon.com/architecture/well-architected/
2,Uma empresa está planejando substituir seus servidores de computação físicos locais por serviços de computação sem servidor da AWS. A empresa deseja poder aproveitar as vantagens das tecnologias avançadas rapidamente após a migração. Qual pilar do AWS Well-Architected Framework esse plano representa?,"Uma segurança.
B. Eficiência de desempenho.
C. Excelência operacional.
D. Confiabilidade.",Eficiência de desempenho,O pilar de eficiência de desempenho concentra-se no uso eficiente dos recursos de computação para atender aos requisitos e em como manter a eficiência à medida que a demanda muda e as tecnologias evoluem.,https://aws.amazon.com/blogs/apn/the-6-pillars-of-the-aws-well-architected-framework/
3,Uma grande empresa possui vários departamentos. Cada departamento tem sua própria conta AWS. Cada departamento comprou instâncias reservadas do Amazon EC2. Alguns departamentos não usam todas as Instâncias Reservadas adquiridas e outros departamentos precisam de mais Instâncias Reservadas do que adquiriram. A empresa precisa gerenciar as contas AWS de todos os departamentos para que os departamentos possam compartilhar as instâncias reservadas. Qual serviço ou ferramenta da AWS a empresa deve usar para atender a esses requisitos?,"A. Gerenciador de sistemas AWS.
B. Explorador de custos.
C. AWS Trusted Advisor.
D. Organizações AWS.",Organizações AWS,"Ao usar o AWS Organizations, a empresa também pode implementar políticas de controle de serviço (SCPs) para impor políticas de compartilhamento e uso de recursos em toda a organização. Dessa forma, os departamentos que possuem Instâncias Reservadas em excesso podem alocá-las a departamentos que necessitam de capacidade adicional.",https://docs.aws.amazon.com/ram/latest/userguide/what-is.html
4,Quais das opções a seguir são benefícios da migração para a Nuvem AWS? (Escolha dois.),"A. Resiliência operacional.
B. Descontos para produtos na Amazon.com.
C. Agilidade nos negócios.
D. Excelência empresarial.
E. Maior retenção de pessoal","A. Resiliência operacional.
B. Agilidade nos negócios","Resiliência operacional: a Nuvem AWS foi projetada para ser altamente disponível e escalável, o que pode ajudar as organizações a melhorar sua resiliência operacional e reduzir o impacto de falhas ou interrupções. Agilidade dos negócios: a migração para a Nuvem AWS pode ajudar as organizações a aumentar a agilidade dos negócios, permitindo-lhes implantar de forma rápida e fácil novos aplicativos e serviços, aumentar ou diminuir a escala da infraestrutura conforme necessário e experimentar novas tecnologias.",https://www.easydeploy.io/blog/benefits-of-aws-migration/
5,"Qual componente da infraestrutura global da AWS é composto por um ou mais data centers discretos que possuem energia, rede e conectividade redundantes?","A. Região da AWS.
B. Zona de disponibilidade.
C. Localização da borda.
D. Postos avançados da AWS.",Zona de disponibilidade,"Uma zona de disponibilidade (AZ) é um data center fisicamente separado dentro de uma região da AWS. Cada zona de disponibilidade possui sua própria fonte de energia, infraestrutura de rede e conectividade. Eles foram projetados para serem isolados de falhas em outras zonas de disponibilidade na mesma região. O objetivo das Zonas de Disponibilidade é fornecer tolerância a falhas e alta disponibilidade para aplicações e serviços hospedados na nuvem AWS. Ao implantar recursos em diversas zonas de disponibilidade, as organizações podem garantir que seus sistemas permaneçam operacionais mesmo se uma zona de disponibilidade individual sofrer uma interrupção.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infraestrutura.html
6,Quais funções são de responsabilidade de uma empresa que usa AWS Lambda? (Escolha dois.),"A. Segurança dentro do código.
B. Seleção de recursos de CPU.
C. Patch do sistema operacional.
D. Escrita e atualização de código.
E. Segurança da infra-estrutura subjacente.","A. Segurança dentro do código.
D. Escrita e atualização de código","Segurança dentro do código: É responsabilidade da empresa garantir a segurança do código executado nas funções Lambda. Isto inclui a implementação de medidas de segurança adequadas, como validação de entrada, criptografia e controles de acesso, para proteger o código e os dados que ele processa. Escrita e atualização de código: A empresa é responsável por desenvolver e manter o código que roda dentro das funções Lambda. Isso envolve escrever o código, testá-lo e fazer as atualizações ou modificações necessárias ao longo do tempo.",https://aws.amazon.com/lambda/features/
7,Quais serviços ou recursos da AWS oferecem soluções de recuperação de desastres para instâncias do Amazon EC2? (Escolha dois.),"A. Instâncias Reservadas.
B. Imagens de máquina Amazon EC2 (AMIs).
C. Instantâneos do Amazon Elastic Block Store (Amazon EBS).
D. Escudo AWS.
E. Amazon GuardDuty.","B. Imagens de máquina Amazon EC2 (AMIs).
C. Instantâneos do Amazon Elastic Block Store (Amazon EBS)","Snapshots do Amazon Elastic Block Store (Amazon EBS): o Amazon EBS é um serviço de armazenamento em blocos para uso com instâncias do Amazon EC2. Os snapshots do EBS são cópias pontuais de um volume do EBS que podem ser usadas para criar um novo volume ou restaurar um volume existente. Os snapshots do EBS podem ser usados ​​para recuperar dados em caso de falha de uma instância ou para criar uma nova instância em uma região ou zona de disponibilidade diferente. Imagens de máquina da Amazon (AMIs): uma AMI é uma imagem de máquina virtual pré-configurada que contém o sistema operacional, o software do aplicativo e quaisquer outros componentes necessários para executar uma instância. As AMIs podem ser usadas para criar novas instâncias na mesma região ou em uma região diferente, o que pode ser útil para fins de recuperação de desastres.",https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html
8,Uma empresa está migrando para a Nuvem AWS em vez de executar sua infraestrutura localmente. Quais das alternativas a seguir são vantagens desta migração? (Escolha dois.),"A. Eliminação da necessidade de realizar auditoria de segurança.
B. Maior alcance e agilidade globais, Capacidade de implantação global em minutos.
C. Eliminação dos custos com pessoal de TI.
D. Redundância por padrão para todos os serviços de computação.","Maior alcance e agilidade globais, capacidade de implantação global em minutos","Maior alcance global e agilidade: a AWS oferece uma rede global de data centers, permitindo que as empresas implantem seus aplicativos e serviços em diversas regiões ao redor do mundo. Este alcance global permite latência reduzida e melhor desempenho para usuários em diferentes localizações geográficas. Além disso, a AWS fornece vários serviços e ferramentas que aumentam a agilidade, permitindo que as empresas aumentem ou diminuam rapidamente seus recursos conforme necessário, e inovem e implantem rapidamente novas soluções. Capacidade de implantação global em minutos: com a infraestrutura global da AWS, as empresas podem implantar rapidamente seus aplicativos e serviços em diversas regiões ao redor do mundo. Isso lhes permite atender seus clientes com baixa latência e alta disponibilidade em diversas localizações geográficas. A AWS fornece ferramentas de automação e gerenciamento que facilitam a implantação rápida e eficiente em todas as regiões.",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/six-advantages-of-cloud-computing.html
9,"Um usuário está comparando opções de compra de um aplicativo executado no Amazon EC2 e no Amazon RDS. O aplicativo não pode sustentar nenhuma interrupção. O aplicativo passa por uma quantidade previsível de uso, incluindo alguns picos sazonais que duram apenas algumas semanas por vez. Não é possível modificar o aplicativo. Qual opção de compra atende a esses requisitos de maneira MAIS econômica?","A. Revise o AWS Marketplace e compre instâncias reservadas com adiantamento parcial para cobrir a carga prevista e sazonal.
B. Comprar instâncias reservadas pela quantidade prevista de uso ao longo do ano.
C. Permitir que qualquer uso sazonal seja executado a uma taxa sob demanda.
D. Comprar instâncias reservadas para cobrir todo o uso potencial resultante do uso sazonal.",Compre instâncias reservadas pela quantidade prevista de uso ao longo do ano. Permita que qualquer uso sazonal seja executado a uma taxa sob demanda.,"comprar Instâncias Reservadas pela quantidade prevista de uso ao longo do ano e permitir que qualquer uso sazonal seja executado a uma taxa sob demanda fornece um equilíbrio entre a otimização de custos e a garantia de serviço ininterrupto. Ao usar instâncias reservadas para uso previsível e aproveitar instâncias sob demanda para picos sazonais, o usuário pode evitar o provisionamento excessivo e ainda ter a capacidade necessária durante períodos de pico. Essa abordagem permite a utilização econômica dos recursos, ao mesmo tempo em que atende aos requisitos da aplicação de não haver interrupções.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html
